node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
HNRNPAB	CCT6A	1853670	1846449	ENSP00000351108	ENSP00000275603	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.268	0.269
GRK5	RAB11FIP5	1858049	1844569	ENSP00000376609	ENSP00000258098	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301
CCT5	CCT6A	1846664	1846449	ENSP00000280326	ENSP00000275603	0.000	0.000	0.237	0.801	0.938	0.984	0.900	0.889	0.999
TUBA1B	CDKN3	1851928	1851839	ENSP00000336799	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.370	0.370
ANP32B	CCT5	1852983	1846664	ENSP00000345848	ENSP00000280326	0.000	0.000	0.000	0.000	0.140	0.000	0.000	0.112	0.204
FOXM1	CCNB2	1852579	1847117	ENSP00000342307	ENSP00000288207	0.000	0.000	0.000	0.000	0.114	0.103	0.900	0.594	0.963
FOXM1	CDKN3	1852579	1851839	ENSP00000342307	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.244	0.292
MKI67	TPX2	1854841	1848175	ENSP00000357643	ENSP00000300403	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.303	0.321
TKT	CCT6A	1860530	1846449	ENSP00000405455	ENSP00000275603	0.000	0.000	0.000	0.000	0.219	0.000	0.000	0.101	0.267
TTLL1	NME5	1845862	1845708	ENSP00000266254	ENSP00000265191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.164
AURKB	NDC80	1863844	1844946	ENSP00000463999	ENSP00000261597	0.000	0.000	0.000	0.000	0.446	0.875	0.900	0.979	0.999
AURKB	TTK	1863844	1855108	ENSP00000463999	ENSP00000358813	0.000	0.000	0.000	0.666	0.251	0.281	0.000	0.354	0.499
BTD	SLC25A14	1848848	1842696	ENSP00000306477	ENSP00000218197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.164	0.163
CARS	CCT6A	1857239	1846449	ENSP00000369897	ENSP00000275603	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.043	0.270
TKT	MARS	1860530	1845042	ENSP00000405455	ENSP00000262027	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.149	0.194
EMX2	FOXM1	1854975	1852579	ENSP00000358202	ENSP00000342307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.306	0.306
CCT5	UBA2	1846664	1843822	ENSP00000280326	ENSP00000246548	0.000	0.000	0.000	0.000	0.184	0.000	0.000	0.198	0.317
PTTG1	TPX2	1852874	1848175	ENSP00000344936	ENSP00000300403	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.361	0.396
FOXM1	TPX2	1852579	1848175	ENSP00000342307	ENSP00000300403	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.235	0.291
AURKB	MKI67	1863844	1854841	ENSP00000463999	ENSP00000357643	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.216	0.288
AURKB	CDKN3	1863844	1851839	ENSP00000463999	ENSP00000335357	0.000	0.000	0.000	0.000	0.112	0.305	0.000	0.496	0.661
TKT	NPEPPS	1860530	1850234	ENSP00000405455	ENSP00000320324	0.000	0.000	0.000	0.000	0.179	0.000	0.000	0.071	0.204
TUBA1B	CCT5	1851928	1846664	ENSP00000336799	ENSP00000280326	0.000	0.000	0.000	0.000	0.065	0.100	0.900	0.263	0.929
AURKB	PTTG1	1863844	1852874	ENSP00000463999	ENSP00000344936	0.000	0.000	0.000	0.000	0.106	0.000	0.900	0.533	0.954
AURKB	TUBA1B	1863844	1851928	ENSP00000463999	ENSP00000336799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.440	0.440
CCT6A	MARS	1846449	1845042	ENSP00000275603	ENSP00000262027	0.000	0.000	0.000	0.000	0.489	0.000	0.000	0.000	0.489
TTK	NDC80	1855108	1844946	ENSP00000358813	ENSP00000261597	0.000	0.000	0.000	0.000	0.428	0.878	0.000	0.262	0.944
MAP3K5	CDKN3	1853780	1851839	ENSP00000351908	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.633	0.661
CCT5	MARS	1846664	1845042	ENSP00000280326	ENSP00000262027	0.000	0.000	0.000	0.000	0.518	0.000	0.000	0.295	0.645
MAP3K5	SLC25A14	1853780	1842696	ENSP00000351908	ENSP00000218197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.207	0.207
MAP3K5	XBP1	1853780	1842534	ENSP00000351908	ENSP00000216037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.538
CCNB2	CCT5	1847117	1846664	ENSP00000288207	ENSP00000280326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.174	0.174
CDKN3	TPX2	1851839	1848175	ENSP00000335357	ENSP00000300403	0.000	0.000	0.000	0.000	0.071	0.000	0.000	0.261	0.284
MKI67	NDC80	1854841	1844946	ENSP00000357643	ENSP00000261597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.181	0.181
HNRNPAB	TUBA1B	1853670	1851928	ENSP00000351108	ENSP00000336799	0.000	0.000	0.000	0.000	0.000	0.084	0.000	0.188	0.224
EMX2	NPAS3	1854975	1853301	ENSP00000358202	ENSP00000348460	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.189	0.189
TKT	UGDH	1860530	1850153	ENSP00000405455	ENSP00000319501	0.000	0.000	0.000	0.000	0.000	0.644	0.000	0.241	0.718
AURKB	LRIG1	1863844	1846308	ENSP00000463999	ENSP00000273261	0.000	0.000	0.000	0.000	0.000	0.149	0.000	0.094	0.196
MKI67	CDKN3	1854841	1851839	ENSP00000357643	ENSP00000335357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.205	0.205
MAP3K5	LRIG1	1853780	1846308	ENSP00000351908	ENSP00000273261	0.000	0.000	0.000	0.000	0.000	0.079	0.000	0.132	0.166
FOXM1	USF2	1852579	1842906	ENSP00000342307	ENSP00000222305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.281	0.281
NPEPPS	USF2	1850234	1842906	ENSP00000320324	ENSP00000222305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.234	0.234
SRM	CCT5	1856583	1846664	ENSP00000366156	ENSP00000280326	0.000	0.000	0.000	0.000	0.087	0.080	0.000	0.070	0.150
AURKB	UBE2S	1863844	1845564	ENSP00000463999	ENSP00000264552	0.000	0.000	0.000	0.000	0.092	0.101	0.000	0.241	0.326
AURKB	TPX2	1863844	1848175	ENSP00000463999	ENSP00000300403	0.000	0.000	0.000	0.000	0.223	0.570	0.000	0.393	0.779
EMX2	FKTN	1854975	1842986	ENSP00000358202	ENSP00000223528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.196	0.196
CARS	MARS	1857239	1845042	ENSP00000369897	ENSP00000262027	0.000	0.000	0.000	0.000	0.485	0.000	0.000	0.807	0.896
